taxon,mean.difference (grp1 - grp2),se,effect.size (grp1 - grp2),p.val,q.val,diff.abn
taxon157,-0.0035140384909924105,0.13811501501134577,-0.025442841900308537,0.9797017392616941,1,FALSE
taxon158,0.018511001311564967,0.13223539033073164,0.1399852283512562,0.8886716615313573,1,FALSE
taxon159,0.007059743837166954,0.12581117267567568,0.05611380680288249,0.9552511450311529,1,FALSE
taxon160,-0.946393259692056,0,Inf,0,0,TRUE
taxon161,0.23028155999979927,0.13129481713861355,1.7539272685583711,0.07944297044449221,1,FALSE
taxon162,-0.04269014349532474,0.12395136661871237,-0.3444104301539827,0.7305376460168278,1,FALSE
taxon163,0.07888565563491434,0.13583681948573414,0.5807383884102135,0.561416784926897,1,FALSE
taxon164,-0.18986520095997472,0.13369196065963893,-1.4201691711541655,0.15555843646463982,1,FALSE
taxon165,1.5706721776546506,0.15456390807589773,10.16195952345732,2.9312503711725332e-24,1.2252626551501188e-21,TRUE
taxon166,0.04214085256250111,0.10350057109492858,0.40715574915862435,0.6838935998484912,1,FALSE
taxon167,0.07727153616585997,0.13024349787995956,0.5932851729541092,0.5529903198785613,1,FALSE
taxon168,-0.012375142644348358,0.1183600389413855,-0.10455507411987927,0.9167288648954419,1,FALSE
taxon169,-0.2529040534444502,0.1402007979994908,-1.8038702849991533,0.07125164426730822,1,FALSE
taxon170,0.018370265091896765,0.12021722858952016,0.15280892187775968,0.8785489617302032,1,FALSE
taxon171,-0.3403863213837204,0.1283532861319575,-2.651948630545975,0.008002871651867945,1,FALSE
taxon172,-0.19786503964281266,0.15555181532523346,-1.2720201254425039,0.20336596872376145,1,FALSE
taxon173,-0.32529449499226515,0.1333742237849206,-2.4389607358977803,0.014729568581888898,1,FALSE
taxon174,-0.1818348392518353,0.1156158350895823,-1.572750299394064,0.11577664795168352,1,FALSE
taxon175,0.2541937616830278,0.13337021343236813,1.9059260320665916,0.05665980305971498,1,FALSE
