method,X1,X2,country,scale_x1,scale_x2
ANCOM-BC,-0.074369213,0.01567659,VEN,-0.75917215,0.292860063
ANCOM-BC,-0.090317434,0.03687444,VEN,-0.921973991,0.688864787
ANCOM-BC,-0.071996328,0.015463584,VEN,-0.734949383,0.288880826
ANCOM-BC,-0.051725192,0.071596611,VEN,-0.528018562,1.337522261
ANCOM-BC,-0.092306407,0.011045135,VEN,-0.942277737,0.206338174
ANCOM-BC,-0.026129575,0.044551319,VEN,-0.266734646,0.832279342
ELib-UQ,-0.167848939,-0.042485072,VEN,-1.68977873,-0.656716203
ELib-UQ,-0.05035851,-0.043079062,VEN,-0.506972155,-0.665897845
ELib-UQ,-0.046312283,-0.001041043,VEN,-0.466237745,-0.016092004
ELib-UQ,-0.035010861,0.051267759,VEN,-0.352463403,0.792475246
ELib-UQ,0.012292364,0.123171904,VEN,0.123750414,1.903938998
ELib-UQ,0.04763218,0.047839722,VEN,0.479525492,0.739486106
ELib-UQ,0.117462063,0.412293669,VEN,1.182520995,6.373060496
ELib-UQ,0.016836817,0.000710235,VEN,0.169500595,0.010978514
ELib-UQ,-0.015582862,-0.024292182,VEN,-0.156876706,-0.375498237
ELib-UQ,0.08132647,0.009262827,VEN,0.818734631,0.143180854
ELib-UQ,-0.18894513,0.042293964,VEN,-1.902159543,0.65376214
ELib-UQ,0.120514523,0.064063004,VEN,1.2132509,0.990258716
ELib-UQ,0.040797833,-0.072809688,VEN,0.410722343,-1.125461252
ELib-UQ,0.091463814,0.02199116,VEN,0.9207899,0.339930012
ELib-UQ,-0.016216615,-0.027319808,VEN,-0.163256861,-0.422297988
ELib-UQ,-0.050710396,-0.032141706,VEN,-0.510514687,-0.496832838
ELib-UQ,0.100060114,0.05513942,VEN,1.007331071,0.852321746
ELib-UQ,0.017290061,-0.017195187,VEN,0.174063518,-0.265795908
ELib-UQ,0.041725066,0.041625127,VEN,0.420057046,0.643423543
ELib-UQ,0.040323924,0.035606224,VEN,0.405951388,0.5503859
ELib-UQ,0.016377992,0.024752122,VEN,0.164881481,0.382607794
ELib-UQ,0.061582914,0.113091833,VEN,0.619971143,1.748125543
ELib-UQ,0.149860555,0.044830471,VEN,1.508685004,0.692970386
ELib-UQ,-0.102290317,0.033649106,VEN,-1.029783103,0.520133599
ELib-UQ,0.196774489,-0.042214923,VEN,1.980979726,-0.652540365
ELib-UQ,0.022764065,0.039190467,VEN,0.229171741,0.605789597
ELib-UQ,0.187697754,0.157833453,VEN,1.889601885,2.439722505
ELib-UQ,0.021890119,-0.093999285,VEN,0.220373496,-1.453001039
ELib-UQ,0.270147249,0.151184272,VEN,2.719642297,2.33694229
ELib-UQ,0.053692449,-0.037985825,VEN,0.540535787,-0.587168761
ELib-UQ,0.184322494,0.154582256,VEN,1.855622265,2.389466885
ELib-UQ,0.162087145,0.092992749,VEN,1.631773254,1.437442436
ELib-UQ,0.067989767,0.086921306,VEN,0.684470583,1.343592649
ELib-UQ,-0.02271576,-0.028377404,VEN,-0.228685437,-0.438645859
ELib-UQ,0.059711186,0.024051335,VEN,0.60112797,0.371775323
ELib-UQ,0.003738337,-0.024225124,VEN,0.037634803,-0.374461678
ELib-UQ,0.006217421,-0.014067474,VEN,0.062592389,-0.217449045
ELib-UQ,0.08571409,0.007246947,VEN,0.862905932,0.112020234
ELib-UQ,0.296911831,0.086918924,VEN,2.989088276,1.343555827
ELib-UQ,0.030383682,-0.023184989,VEN,0.305880398,-0.358383719
ELib-UQ,0.192603239,0.031632961,VEN,1.938986673,0.488968889
ELib-UQ,-0.017029533,-0.05199888,VEN,-0.171440719,-0.803776609
ELib-UQ,0.144695257,0.002976195,VEN,1.456684615,0.046004758
ELib-UQ,-0.003526339,-0.08087418,VEN,-0.035500565,-1.250118733
ELib-UQ,0.092202789,-0.047909943,VEN,0.928229345,-0.740571553
ELib-UQ,0.026699254,0.034081207,VEN,0.268788301,0.526812835
ELib-UQ,0.052863917,0.01225655,VEN,0.532194743,0.189456548
ELib-UQ,0.102408606,-0.014648922,VEN,1.03097395,-0.226436813
ELib-UQ,0.083862938,0.000475716,VEN,0.844269909,0.00735342
ELib-UQ,0.019227197,-0.051758742,VEN,0.193565168,-0.800064657
ELib-UQ,-0.006719328,-0.077523897,VEN,-0.067645211,-1.198331489
ELib-UQ,-0.014716358,-0.063289324,VEN,-0.148153387,-0.978299507
ELib-UQ,0.055840696,-0.004322629,VEN,0.562162747,-0.066817368
ELib-UQ,-0.121135304,0.171795944,VEN,-1.219500466,2.655548765
ELib-UQ,-0.01882568,0.072301279,VEN,-0.189522993,1.117602482
ELib-UQ,-0.129091715,0.08735607,VEN,-1.299599715,1.350313037
ELib-UQ,-0.002333678,0.008518729,VEN,-0.023493745,0.131678897
ELib-UQ,-0.0527661,-0.001033733,VEN,-0.531209987,-0.015979013
ELib-UQ,-0.042996358,-0.021921067,VEN,-0.432855464,-0.338846552
ELib-UQ,0.04234576,0.078608257,VEN,0.426305727,1.215093071
ELib-UQ,-0.099945157,0.005494868,VEN,-1.006173772,0.084937344
ELib-UQ,-0.105618736,0.091356999,VEN,-1.063291162,1.41215771
ELib-UQ,0.03084108,-0.056386403,VEN,0.310485136,-0.871597086
ELib-UQ,0.011299855,0.165678346,VEN,0.113758566,2.56098554
ELib-UQ,0.046010727,-0.04205234,VEN,0.463201904,-0.650027214
ELib-UQ,0.105628988,0.085680926,VEN,1.063394368,1.324419379
ELib-UQ,0.011347245,-0.008356801,VEN,0.114235653,-0.129175879
ELib-UQ,0.129197647,0.112048531,VEN,1.30066616,1.731998624
ELib-UQ,-0.003676793,-0.014322399,VEN,-0.037015222,-0.221389566
ELib-UQ,0.129139356,0.065085151,VEN,1.300079328,1.006058625
ELib-UQ,0.057481899,-0.012489455,VEN,0.578685163,-0.193056696
ELib-UQ,0.113917542,-0.026822591,VEN,1.146837391,-0.414612228
ELib-UQ,0.020592217,-0.028218621,VEN,0.207307177,-0.436191457
ELib-UQ,-0.146377717,0.131296338,VEN,-1.47362237,2.029523044
ELib-UQ,-0.014558496,0.017936177,VEN,-0.14656415,0.277249811
ELib-UQ,0.014059441,0.040327696,VEN,0.141540031,0.623368401
ELib-UQ,-0.02293426,-0.084524731,VEN,-0.230885133,-1.306547405
ELib-UQ,0.144811171,-0.015043287,VEN,1.45785155,-0.232532743
ELib-UQ,0.00087699,-0.011986531,VEN,0.008828888,-0.185282706
ELib-UQ,0.015607623,0.013366504,VEN,0.157125985,0.206613751
ELib-UQ,0.272238335,0.006056349,VEN,2.7406938,0.093616473
ELib-UQ,-0.034094014,-0.011191842,VEN,-0.343233269,-0.172998749
ELib-UQ,-0.121033047,0.115439638,VEN,-1.218471016,1.784416912
ELib-UQ,-0.016412193,0.006197312,VEN,-0.165225797,0.09579542
ELib-UQ,-0.021313885,-0.051579669,VEN,-0.214572399,-0.797296633
ELib-UQ,-0.006672809,0.024728558,VEN,-0.067176897,0.382243546
ELib-UQ,0.056884335,0.008143785,VEN,0.572669332,0.125883172
ELib-UQ,0.013309749,-0.00695437,VEN,0.133992688,-0.107497706
ELib-UQ,-0.155831089,0.056966795,VEN,-1.568791917,0.880568537
ELib-UQ,-0.076970653,0.008092097,VEN,-0.774883488,0.125084195
ELib-UQ,0.054339542,-0.012170944,VEN,0.547050235,-0.188133289
ELib-UQ,0.069179831,0.042968253,VEN,0.696451273,0.66418502
ELib-UQ,-0.002895857,-0.002015958,VEN,-0.029153345,-0.031161825
ELib-UQ,0.096003343,0.006138931,VEN,0.966490508,0.094892983
ELib-UQ,0.072091647,-0.024947724,VEN,0.725765279,-0.385631321
ELib-UQ,0.015848383,-0.052462356,VEN,0.159549777,-0.810940833
ELib-UQ,0.084279899,0.065966112,VEN,0.848467568,1.019676157
ELib-UQ,0.1543683,-0.004142682,VEN,1.554065644,-0.064035817
ELib-UQ,0.010526882,-0.050720585,VEN,0.105976849,-0.784017268
ELib-UQ,-0.009212013,-0.016652285,MA,-0.09273972,-0.257403954
ELib-UQ,-0.033259965,-0.044443528,MA,-0.334836682,-0.686989181
