"phylum","genus","mean.difference (MA - US)","se","effect.size (MA - US)","p.val","q.val","diff.abn","struc.zero.MA","struc.zero.US"
"p__Proteobacteria","p__Proteobacteria;g__Proteus",0.126278251124127,0.0555526376680639,2.27312790940118,0.0230184730014166,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Providencia",0.00642004908896578,0.0622041458181509,0.103209344080285,0.917796824014956,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Ramlibacter",-0.0144850541930362,0.0763340913678551,-0.189758650865869,0.849498258928692,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Raoultella",0.35599572216199,0.136035627982938,2.61693004575714,0.00887245223970648,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Rhizobium",-0.108679086702612,0.0632396912858947,-1.71852652175822,0.0857006211490243,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Schlegelella",0.223039069917998,0.111188204745032,2.00595980868162,0.0448605362613589,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Sphingomonas",0.0295394589395152,0.0678266152449612,0.435514271688644,0.663189182096994,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Thauera",-0.0719551756664704,0.0539340911186788,-1.33413160718955,0.182160728872515,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Xenorhabdus",-0.00291801525075386,0.0548654014506513,-0.0531849794880015,0.957584523308692,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Yersinia",0.0567048188463268,0.0724143658113624,0.783060352886903,0.433591671757853,1,FALSE,0,0
